,Name,Pathogen_type,CFR_adult,Hits,Hits_news,Mode,Incidence,Prevalence,DALYs,Fatal,Peak
60,Smallpox,virus,30.00,2370000.0,753.0,air droplets,39.48665278205128,36.952127051282055,6.79128591025641,141812.1692307692,50000000.0
61,Syphilis,bacterium,33.00,10300000.0,363.0,body fluids,39.0,56.0,9.4,110000.0,2079841.7307692308
62,Syphilis,bacterium,0.01,10300000.0,363.0,body fluids,39.0,56.0,9.4,110000.0,2079841.7307692308
63,Tuberculosis,bacterium,14.10,13500000.0,84300.0,air droplets,9.0,9.4,44.0,1210000.0,2000000.0
64,Tuberculosis ,bacterium,60.00,13500000.0,84300.0,air droplets,9.0,9.4,44.0,1210000.0,2000000.0
65,Typhoid ,bacterium,1.00,8870000.0,7030.0,fecal-oral,12.0,0.7,8.8,128000.0,2079841.7307692308
66,Typhoid ,bacterium,20.00,8870000.0,7030.0,fecal-oral,12.0,0.7,8.8,128000.0,2079841.7307692308
67,vCJD,prion,100.00,326000.0,6380.0,food and water,1e-05,36.952127051282055,6.79128591025641,11.0,29.0
68,West Nile fever,virus,4.80,2590000.0,22900.0,bites,0.0026,36.952127051282055,6.79128591025641,141812.1692307692,2079841.7307692308
69,Whooping cough,bacterium,0.60,4500000.0,3240.0,air droplets,12.0,1.6,6.2,73000.0,160700.0
70,Yellow fever,virus,5.50,7450000.0,5090.0,bites,0.1,0.003,0.4,5800.0,45000.0
71,Zika,virus,0.00,10400000.0,502000.0,bites,0.5,0.13,6.79128591025641,141812.1692307692,2079841.7307692308
72,Chlamydia,bacterium,0.00,10200000.0,32300.0,body fluids,74.0,94.0,0.6,1190.0,2079841.7307692308
73,Gonorrhea,bacterium,0.00,5540000.0,23300.0,body fluids,191.0,57.0,0.7,3370.0,2079841.7307692308
74,HIV,virus,53.20,58400000.0,7300000.0,body fluids,1.9,36.0,58.0,1030000.0,1900000.0
75,Leishmaniasis,parasite,11.90,2620000.0,2840.0,bites,0.8,0.03,1.0,13700.0,2079841.7307692308
76,Meningitis,bacterium,37.60,1060000.0,14000.0,air droplets,0.6,1.7,8.3,127000.0,2079841.7307692308
77,Sleeping sickness,parasite,48.30,3600000.0,41500.0,bites,0.005,0.007,0.1,2300.0,2079841.7307692308
78,Anthrax,bacterium,1.00,10700000.0,25600.0,air droplets,39.48665278205128,36.952127051282055,6.79128591025641,141812.1692307692,2079841.7307692308
79,Scarlet fever,bacterium,1.00,2290000.0,5210.0,body fluids,0.5,36.952127051282055,6.79128591025641,141812.1692307692,2079841.7307692308
